"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"EWG","iシェアーズ MSCI ドイツ ETF","MSCI ドイツ・インデックス","NYSE Arca","http://www.blackrock.com/jp/literature/fact-sheet/ewg-ishares-msci-germany-etf-fund-fact-sheet-ja-jp.pdf","iシェアーズ MSCI ドイツ ETFは、ドイツの株式で構成されているMSCI ドイツ・インデックスと同等の投資成果をあげることを目指しています。"
"EWJ","iシェアーズ MSCI ジャパン ETF","MSCI ジャパン インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ewj-ishares-msci-japan-index-fund.pdf","MSCI ジャパン・インデックスによって測定される日本市場で公開取引されている証券の価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。"
"EWM","iシェアーズ MSCI マレーシア ETF","MSCI マレーシア インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ewm-ishares-msci-malaysia-index-fund.pdf","MSCI マレーシア・インデックスによって測定されるマレーシアの市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"EWS","iシェアーズ MSCI シンガポール ETF","MSCI シンガポール インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ews-ishares-msci-singapore-index-fund.pdf","MSCI シンガポール・インデックスによって測定されるシンガポール株式市場で公開取引されている証券の価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。 "
"EWT","iシェアーズ MSCI 台湾 ETF","MSCI 台湾 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ewt-ishares-msci-taiwan-index-fund.pdf","MSCI台湾インデックスによって測定される台湾の市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"EWW","iシェアーズ MSCI メキシコ・キャップト ETF","MSCI メキシコ IMI 25/50 インデックス","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/eww-ishares-msci-mexico-etf-fund-fact-sheet-ja-jp.pdf","MSCI メキシコ IMI 25/50 インデックスによって測定されるメキシコの市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"EWY","iシェアーズ MSCI 韓国キャップト ETF","MSCI 韓国 25/50 インデックス","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/ewy-ishares-msci-south-korea-etf-fund-fact-sheet-ja-jp.pdf","MSCI 韓国 25/50 インデックスによって測定される韓国の市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"EWZ","iシェアーズ MSCI ブラジル・キャップト ETF","MSCI ブラジル 25/50 インデックス","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/ewz-ishares-msci-brazil-etf-fund-fact-sheet-ja-jp.pdf","MSCI ブラジル 25/50 インデックスによって測定されるブラジルの市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"EXI","iシェアーズ グローバル資本財 ETF","S&P グローバル資本財セクター インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/exi-ishares-sp-global-industrials-sector-index-fund.pdf","スタンダード・アンド・プアーズが資本財セクターにおいて重要なポジションにあると判断し、S&P グローバル資本財セクター・インデックスによって代表される諸企業の株価、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。当インデックスはスタンダード・アンド・プアーズ・グローバル1200インデックスのサブセット指数です。"
"EZA","iシェアーズ MSCI 南アフリカ ETF","MSCI 南アフリカ インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/eza-ishares-msci-south-africa-index-fund.pdf","MSCI 南アフリカ・インデックスによって測定される南アフリカの市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"FAN","FT グローバル ウィンド エネルギー ETF","ISE Clean Edge Global Wind Energy指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FAN_Factsheet.pdf","ISE Clean Edge Global Wind Energy Index?への連動を目指す。2008年6月から運用開始。クリーンエッジ社が選定する風力発電関連銘柄のうち、風力発電関連事業が全事業収益の50％以上を占めるピュアプレイヤーとそれ以外に分類し、ピュアプレイヤーの合計ウェイトが60％になるようにするなど一定のルールに基づき投資する。"
"FAS","Direxion デイリー米国金融株ブル3倍 ETF","ラッセル1000金融株指数","NYSE Arca","https://www.direxion.com/uploads/FAS-FAZ-Fact-Sheet.pdf","ラッセル1000金融株指数の300%のパフォーマンスに連動した成果を目指す。"
"FAUG","FT Vest 米国株バッファーETF-８月","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=51b0991b-bd78-4bd5-b4ef-7f1f2d87253e","8月を起点とした1年間において、フレックス・オプション取引を通じ、原資産であるSPDRR S&P 500R ETF Trustの価格に連動することを目指します。米国株の下落バッファーを設けることで損失リスクを抑えながら運用します。"
"FAZ","Direxion デイリー米国金融株ベア3倍 ETF","ラッセル1000金融株指数","NYSE Arca","https://www.direxion.com/uploads/FAS-FAZ-Fact-Sheet.pdf","ラッセル1000金融株指数の値動きの反対方向の300%のパフォーマンスに連動した成果を目指す。"
"FBL","グラナイトS 2倍 ロング METAデイリーETF","--","NASDAQ","https://graniteshares.com/media/04gfnxri/fbl-graniteshares-2x-long-meta-daily-etf.pdf","メタ プラットフォームズ A（NASDAQ：META）普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"FBT","FT NYSE Arca バイオテクノロジー指数 ETF","NYSE・アーカ・バイオテクノロジー指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FBT_Factsheet.pdf","米国上場バイオ関連銘柄を厳選して投資します。"
"FCVT","FT SSI ストラテジック転換証券 ETF","--","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FCVT_Factsheet.pdf","グローバル市場上場転換証券を対象に、下落リスクを限定しつつ値上がり益追及を目指します。"
"FDD","FT STOXX欧州セレクト配当指数ファンド","STOXX Europe Select Dividend 30 指数","NYSE Arca","https://www.ftportfolios.jp/content/funds/etf/fdd/firsttrustjapanfactsheetinstitutional","欧州18か国の高配当企業30社により構成されるSTOXX欧州セレクト配当30指数への連動を目指すETF。"
"FDL","FT モーニングスタ 配当リーダーズ指数 ETF","モーニングスター・配当リーダーズ指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FDL_Factsheet.pdf","米国企業のうち、5年間の配当成長率がプラスの企業から、配当をカバーするのに十分な利益を上げている企業をスクリーニングし、そのうえで配当利回り上位から100銘柄をスクリーニングする、モーニングスター・配当リーダーズ指数への連動を目指すETF。"
"FDM","FT ダウセレクト 超小型株指数ファンド ETF","ダウ・ジョーンズ・セレクト・マイクロキャップ指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FDM_Factsheet.pdf","米国上場の流動性及び財務基盤で優れた超小型株に投資します。"
"FDN","FT ダウ インターネット指数ファンド ETF","ダウ・ジョーンズ・インターネット・コンポジット指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FDN_Factsheet.pdf","インターネット業界の大型かつ最も取引されている米国企業を代表する銘柄に投資しているETF"
"FDNI","FT ダウ 国際 インターネット ETF","ダウ・ジョーンズ・インターナショナル・インターネット指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FDNI_Factsheet.pdf","米国を除くグローバル上場企業のeコマース、インターネット関連から厳選した40銘柄に投資します。"
"FEPI","REX ファング&イノベーション エクイティ プレミアム インカムETF","--","NASDAQ","https://www.rexshares.com/wp-content/uploads/2024/04/fepi-fact-sheet.pdf","ソラクティブ・ファング・イノベーション・インデックス（Solactive FANG Innovation Index）を対象指数とし、カバードコール戦略によりリターン、インカムゲインを追求します。"
"FEZ","SPDRユーロ・ストックス50 ETF","ユーロ・ストックス50指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-fez.pdf","ユーロ・ストックス50指数のトータルリターンのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"FFEB","FT Vest 米国株バッファーETF-２月","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=98ad27c3-c464-4277-aa4a-0e4f712a4812","2月を起点とした1年間において、フレックス・オプション取引を通じ、原資産であるSPDRR S&P 500R ETF Trustの価格に連動することを目指します。米国株の下落バッファーを設けることで損失リスクを抑えながら運用します。"
"FGD","FT ダウ グローバルセレクト配当指数 ETF","ダウ・ジョーンズ・グローバル・セレクト・ディビデンド指数 ","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FGD_Factsheet.pdf","先進２５ヵ国市場を対象に高配当銘柄を厳選し、売買回転率を抑えた投資を行います。"
"FID","FT S&Pインターナショナル配当貴族ETF","S&Pグローバル配当貴族指数","NASDAQ","https://www.ftportfolios.jp/content/funds/etf/fid/firsttrustjapanfactsheetinstitutional","10年以上配当成長を持続する米国を除く約80-100の企業で構成されるS&Pインターナショナル配当貴族指数への連動を目指すETF。"
"FINX","グローバルX フィンテック ETF","Indxx・グローバル・フィンテック・セマティック・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/FINX-factsheet-JPN-1.pdf","「Indxx・グローバル・フィンテック・セマティック・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。"
"FIW","FT ウォーター ETF","ISE・クリーン・エッジ・ウォーター指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FIW_Factsheet.pdf","米国上場上下水道ビジネス関連銘柄に投資します。"
"FIXD","FT スミス オポチュニスティック債券 ETF","--","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FIXD_Factsheet.pdf","純資産の少なくとも80％を固定収入証券に投資し、長期的な総合リターンの最大化を目指す。投資対象には、米国政府や企業の債券、モーゲージ担保証券などが含まれる。"
"FLOW","グローバルＸ 米国キャッシュフローキング ETF","--","NYSE Arca","https://www.globalxetfs.com/content/files/FLOW-factsheet.pdf","米国株式市場全体と比較して高いフリー・キャッシュフロー利回りの米国企業へのエクスポージャーを提供します。"
"FLRN","SPDR ブルームバーグ投資適格変動金利ETF","ブルームバーグ米国変動利付債5年未満指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-flrn.pdf","Bloomberg U.S. Dollar Floating Rate Note < 5 Years指数の価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"FMAY","FT Vest 米国株バッファーETF-5月","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=0590aaf3-cb3a-4fb5-88df-4675792f8a91","5月を起点とした1年間において、フレックス・オプション取引を通じ、原資産であるSPDRR S&P 500R ETF Trustの価格に連動することを目指します。米国株の下落バッファーを設けることで損失リスクを抑えながら運用します。"
"FNGG","Direxion デイリー NYSE FANG+ ブル2倍 ETF","NYSE FANG+指数","NYSE Arca","https://www.direxion.com/uploads/FNGG-Fact-Sheet.pdf","人気成長株10銘柄のパフォーマンスに連動するよう設計されているNYSE FANG+ 指数の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"FNOV","FT Vest 米国株バッファーETF-11月","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=b09efa33-cae9-41c6-b9cb-aab6f55ffe9e","11月を起点とした1年間において、フレックス・オプション取引を通じ、原資産であるSPDRR S&P 500R ETF Trustの価格に連動することを目指します。米国株の下落バッファーを設けることで損失リスクを抑えながら運用します。"
"FPE","FT 優先証券＆インカム ETF","--","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FPE_Factsheet.pdf","グローバル市場の優先証券、社債、ハイイールド債、転換証券等へアクティブに投資します。"
"FPX","FT 米国株式 オポチュニティーズ ETF","IPOX 100米国指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FPX_Factsheet.pdf","U.S. IPOX-100指数に連動する投資成果を目指すETF"
"FPXI","FT 国際株式 オポチュニティーズ ETF","IPOX　インターナショナル指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FPXI_Factsheet.pdf","米国以外のグローバル市場の、IPO後銘柄に投資します。"
"FRI","FT S&Pリート指数ファンド","S&P United States REIT 指数","NYSE Arca","https://www.ftportfolios.jp/content/funds/etf/fri/firsttrustjapanfactsheetinstitutional","米国の不動産投資信託（REIT）市場全体を測定する株価指数S&P United States REIT Indexへの連動を目指すETF。"
"FSIG","FT 限定デュレーション投資適格社債A ETF","--","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FSIG_Factsheet.pdf","米国中短期社債にフォーカスするアクティブ運用米国債券ファンド。投資適格社債に投資しつつ柔軟な投資アプローチをとることにより、高利回りを獲得しつつ、金利リスクを抑えることを目指す。毎月分配型。"
"FTCS","FT キャピタル ストレングス ETF","キャピタル・ストレングス指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTCS_Factsheet.pdf","キャピタル・ストレングス指数への連動を目指す。2006年7月から運用開始。資本力が高い米国企業50社にイコールウェイトで投資する。"
"FTGC","FT グローバル戦術 商品戦略ファンド ETF","--","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTGC_Factsheet.pdf","国内初のアクティブ運用型のコモディティ先物ETF。大豆、原油、小麦、生牛、金など、10～35 種類のコモディティの先物からアクティブに選択、毎月、最適な資産配分にリバランスを行う。"
"FTGS","ファーストトラスト グロース ストレングス ETF","--","NASDAQ","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=a8faebcb-719a-4a6b-a75e-1d5442c657fd","現金比率が高く、負債比率が低い、成長力が高い米国企業に投資"
"FTHI","FT バイライトインカム ETF","Nasdaq US Small Mid Cap Rising Dividend Achievers?指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTHI_Factsheet.pdf","インカム獲得を主な目的とし、値上がり益獲得を副次的目的とするアクティブ運用型のETF。幅広い米国株式に投資しつつ、S＆P500指数に対するコール・オプションの売りからオプションプレミアムを生み出すことにより、高い分配金とキャピタルの増価を目指す。"
"FTLS","FT ロングショート株式 ETF","--","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FTLS_Factsheet.pdf","投資家に長期的なトータルリターンを提供することを目指す。当ファンドは、エクイティ証券のポートフォリオにロングポジションとショートポジションを設定することにより、投資目的を追求する。"
"FTQI","ファーストトラスト ナスダック バイライトインカム ETF","--","NASDAQ","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=fd21fb72-5bbc-4b32-a5e3-36a2b4c0da03","米国上場大型株の保有とNASDAQ100指数コールオプションの売りで、分配金の獲得とキャピタルゲインを狙う"
"FTSL","FT シニアローン ファンド ETF","--","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTSL_Factsheet.pdf","純資産の少なくとも80％をfirst lienのシニア変動金利バンクローン（シニアローン）に投資することにより、プライマリーインデックスとセカンダリーインデックスのそれぞれを上回るパフォーマンスを目指す。"
"FTSM","FT エンハンスト ショートマチュリティ ETF","--","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTSM_Factsheet.pdf","一般的な米ドルMMFよりも高い柔軟性で、超短期債券ファンドより低リスク運用を狙うアクティブ運用ファンド。毎月分配型。"
"FTXL","FT ナスダック 半導体 ETF","ナスダック米国スマート半導体指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/FTXL_Factsheet.pdf","ナスダック・ＵＳ・スマート・セミコンダクター指数のパフォーマンス(手数料および経費控除前)に連動する投資成果を目指している。"
"FVD","FT バリューライン 配当指数ファンド ETF","バリュー・ライン配当指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FVD_Factsheet.pdf","スタンダード＆プアーズ500総合株価指数の想定配当利回りと比較して、平均配当利回りを上回る水準の企業で構成されるバリュー・ライン配当指数に連動する投資成果を目指すETF"
"FXH","FT ヘルスケア AlphaDEXファンド ETF","ストラタクワント・ヘルスケア指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FXH_Factsheet.pdf","米国上場大型ヘルスケア関連銘柄を対象にグロースとバリューの観点で選別し投資します。"
"FXI","iシェアーズ 中国大型株 ETF","FTSEチャイナ25インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/fxi-ishares-ftse-china-25-index-fund.pdf","FTSE 中国 25 インデックスによって測定される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"FXL","FT テクノロジー AlphaDEXファンド ETF","ストラタクワント・テクノロジー指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FXL_Factsheet.pdf","米国上場大型テクノロジー関連銘柄を対象にグロースとバリューの観点で選別し投資します。"
"FXN","FT エネルギー AlphaDEXファンド ETF","ストラタクワント・エネルギー指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FXN_Factsheet.pdf","米国のエネルギーセクターへの投資を行う株式ETF。Russell1,000の構成銘柄からグロース要因とバリュー要因で順位付けした上位銘柄のみで構成する、AlphaDEXルールに基づくストラタクワント・エネルギー指数への連動を目指す。"
"FXZ","FT マテリアルズ AlphaDEXファンド ETF","ストラタクワント・マテリアルズ指数","NYSE Arca","https://www.firsttrust-teneo.jp/PDF/qreports/FXZ_Factsheet.pdf","米国の素材（Materials）セクターへの投資を行う株式ETF。Russell1,000の構成銘柄からグロース要因とバリュー要因で順位付けした上位銘柄のみで構成する、AlphaDEXルールに基づくストラタクワント・マテリアルズ指数への連動を目指す。"
"GAL","SPDR SSGA グローバル アロケーション ETF","アクティブ","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-gal.pdf","株式、債券、REIT、コモディティ、物価連動債など様々な資産へ投資する。"
"GDX","ヴァンエック ベクトル 金鉱株ETF","NYSE Arca金鉱株インデックス","NYSE Arca","https://www.vaneck.com/ucits/library/fact-sheets/gdx-fact-sheet.pdf","金鉱株ETFは、NYSE Arca金鉱株インデックスの価格と利回り（手数料と経費控除前）に連動するパフォーマンスを目指します。このインデックスは主に金鉱に関連する世界中の上場企業の銘柄で構成され、中小型株から大型株まで幅広く網羅しています。"
"GDXJ","ヴァンエック ベクトル ジュニア金鉱株 ETF","ヴァンエック・ベクトル中小型金鉱株インデックス","NYSE Arca","https://www.vaneck.com/ucits/library/fact-sheets/gdxj-fact-sheet.pdf","中小型金鉱株ETFは、ヴァンエック・ベクトル中小型金鉱株インデックスの価格と利回り（手数料と経費控除前）に連動するパフォーマンスを目指します。このインデックスは、売上高の50%以上が金鉱や銀鉱事業からのものであるか、開発後の金鉱または銀鉱の収入が企業全体の収入の50%以上となりうる不動産を有するか、あるいは主に金または銀に投資する、世界の上場企業の中小型株へのエクスポージャーを提供します。"
"GGLL","Direxion デイリー GOOGL株 ブル 2倍ETF","--","NASDAQ","https://www.direxion.com/uploads/GGLL-GGLS-Fast-Sheet.pdf","アルファベット・クラスA普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"GGLS","Direxion デイリー GOOGL株 ベア 1倍ETF","--","NASDAQ","https://www.direxion.com/uploads/GGLL-GGLS-Fast-Sheet.pdf","アルファベット・クラスA普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"GINN","GS イノベーション ETF","the Solactive Innovative Global Equity Index","NYSE Arca","https://www.gsam.com/content/dam/gsam/pdfs/us/en/fund-literature/monthly-fact-card/GINN_fc.pdf","the Solactive Innovative Global Equity Indexに連動した成果を目指す。"
"GLD","SPDR  ゴールド シェア","金地金価格（ロンドン午後金値決め）","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-gld.pdf","SPDRゴールドETF（金現物拠出型上場外国信託）は信託の割合的な未分割の受益権であり、主な資産は金に配分（または金で確保）されています。SPDRゴールドETF（金現物拠出型上場外国信託）の価値は、信託が保有する金の価値（ロンドン午後金値決め［London PM Fix］）に直接連動します。"
"GLDM","SPDRR ゴールド ミニシェアーズ トラスト","ロンドン金価格","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-gldm.pdf","LBMA Gold Price PMに連動した成果を目指す。"
"GLIN","ヴァンエック・ベクトル・インド成長リーダーETF","マーケットグレーダー・インド・オール・キャップ・グロース・リーダーズ・インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/india-growth-leaders-etf-glin-fact-sheet.pdf","マーケットグレーダー・インド・オール・キャップ・グロース・リーダーズ・インデックスの価格と利回り（手数料や経費控除前）に連動するパフォーマンスを目指します。"
"GMF","SPDR S&P アジア パシフィック新興国株式ETF","S&P アジア・パシフィック・エマージング BMI 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-gmf.pdf","S&P アジア・パシフィック・エマージング BMI 指数のトータルリターンに、経費控除前で、連動する投資成果を上げることを目標とします。"
"GNOM","グローバルX ゲノム＆バイオテクノロジー ETF","ソラクティブ・ ゲノミクス・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/GNOM-factsheet-JPN-1.pdf","ソラクティブ・ ゲノミクス・インデックスに連動する投資成果を目指します。"
"GRID","FT NDAQ スマートグリッドインフラ指数 ETF","ナスダック 　OMX　クリーンエッジ・スマートグリッド ・インフラストラクチャー指数 ","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/GRID_Factsheet.pdf","グローバルの次世代送電線網関連銘柄に投資します。"
"GUSH","Direxion デイリー S&P 石油・ガス探鉱・生産 ブル2 倍 ETF","S&P Oil & Gas Exploration & Production Select Industry Index","NYSE Arca","https://www.direxion.com/uploads/GUSH-DRIP-Fact-Sheet.pdf","S&P Oil & Gas Exploration & Production Select Industry Indexに連動した成果を目指す。"
"GXDW","グローバルX ドーシーライトテーマティックETF","Nasdaq Dorsey Wright Thematic RotationTM Index","NASDAQ","https://globalxetfs.co.jp/content/files/GXDW-factsheet_J.pdf","Nasdaq Dorsey Wright Thematic RotationTM Indexに連動する投資成果を目指します。"
"HACK","ピュアファンズISEサイバー セキュリティETF","ISEサイバー・セキュリティ指数","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/gsg-ishares-sp-gscir-commodity-indexed-trust.pdf","ISEサイバー・セキュリティ指数に連動する投資成果を目指す。"
"HAIL","SPDR S&P Kensho スマート モビリティ ETF","S&P Kenshoスマート輸送指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-hail.pdf","自律走行車やコネクテッド車技術、商用・民生用ドローン技術、高度輸送追跡・輸送最適化システムなど、スマート輸送のイノベーションを推進する製品やサービスを持つ企業をとらえるよう設計された指数の連動を目指します。"
"HDV","iシェアーズ・コア 米国高配当株 ETF","モーニングスター配当フォーカス指数","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/hdv-ishares-high-dividend-etf.pdf","米モーニングスター社が開発・算出する「モーニングスター配当フォーカス指数」を連動対象とし、米国市場に上場する高配当株に投資します。"
"HEAL","グローバルX ヘルステック ETF","グローバルＸ・ヘルステック・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/HEAL-factsheet_J.pdf","デジタルヘルス・遠隔治療及び関連アプリケーションのさらなる発展で恩恵を受ける企業への投資を目指すETF"
"HEDJ","ウィズダムツリー欧州株米ドルヘッジ付 ファンド","ウィズダムツリー ヨーロッパ ヘッジド エクイティ インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-hedj-1056.pdf","ウィズダムツリー ヨーロッパ ヘッジド エクイティ インデックスに連動した成果を目指す。"
"HERO","グローバルX ヒーローズ（ゲーム＆eスポーツ）ETF","ソラクティブ・ビデオゲーム・アンド・E スポーツ・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/HERO-factsheet-JPN-1.pdf","ソラクティブ・ビデオゲーム・アンド・E スポーツ・インデックスに連動する投資成果を目指します。"
"HEWJ","iシェアーズ 米ドルヘッジ MSCI ジャパン ETF","MSCI ジャパン・インデックス（100%対米ドル為替ヘッジ）","NYSE Arca","http://www.blackrock.com/jp/literature/fact-sheet/hewj-ishares-currency-hedged-msci-japan-etf-fund-fact-sheet-ja-jp.pdf","iシェアーズ 米ドルヘッジ MSCI ジャパン ETFは大型および中型の日本株式で構成された指数と同等の投資成果をあげることを目指すと同時に、日本円と米ドル間の為替変動の影響を軽減することを目指します。"
"HEZU","iシェアーズ 米ドルヘッジ MSCI ユーロゾーン ETF","MSCI EMU・インデックス（100%対米ドル為替ヘッジ）","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/hezu-ishares-currency-hedged-msci-eurozone-etf-fund-fact-sheet-ja-jp.pdf","iシェアーズ 米ドルヘッジ MSCIユーロゾーンETFはユーロを基準通貨とする先進国の大型および中型の株式で構成される指数と同等の投資成果を目指すと同時に、ユーロと米ドル間の為替変動の影響を軽減することを目指します。"
"HYBL","SPDR ブラックストーン ハイ インカムETF","--","CBOE","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-hybl.pdf","市場サイクル全体を通じて一般的な債券やローンよりもボラティリティを抑えつつ、リスク調整後トータルリターンおよび高水準のカレント・インカムを提供することを追求するアクティブ運用ファンドです。"
"HYDR","グローバルＸ 水素テック ETF","ソラクティブ・グローバル・ハイドロゲン・インデックス","NASDAQ","https://www.globalxetfs.com/content/files/HYDR-factsheet.pdf","ソラクティブ・グローバル・ハイドロゲン・インデックスに連動する運用実績を目指す。同指数は、水素技術のさらなる進歩から利益を得ることができる企業で構成される。"
"HYEM","ヴァンエック ベクトル　新興国ハイイールド債ETF","BofA Merrill LynchハイイールドUSエマージング・マーケッツ・リキッド・コーポレート・プラス・インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/emerging-markets-high-yield-bond-etf-hyem-fact-sheet.pdf","BofA Merrill LynchハイイールドUSエマージング・マーケッツ・リキッド・コーポレート・プラス・インデックスの価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。"
"HYG","iシェアーズ iBoxx 米ドル建てハイイールド社債 ETF","iBoxx 米ドル建て・リキッド・ハイイールドインデックス","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/hyg-ishares-iboxx-high-yield-corporate-bond-etf-fund-fact-sheet-ja-jp.pdf","インターナショナル・インデックス・カンパニー・リミテッドが作成する社債市場インデックスであるiBoxx 米ドル建てリキッド・ハイイールド・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"HYLS","FT タクティカル ハイイールド ETF","NASDAQ OMX Clean Edg e Smart Grid Infrastructure Index","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/HYLS_Factsheet.pdf","インカムゲインおよびキャピタルゲインの提供を目的とするETF"
"HYZD","ウィズダムツリー 米国ハイイールド社債ファンド（金利ヘッジ型）","バンクオブアメリカ・メリルリンチ・ユーエス・ハイ・イールド・コンストレインド・ゼロ・デュレーション・インデックス（0-5年）","NASDAQ","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/fixed-income/wisdomtree-hyzd-1647.pdf","バンクオブアメリカ・メリルリンチ・ユーエス・ハイ・イールド・コンストレインド・ゼロ・デュレーション・インデックス（0-5年）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を目指す。"
"IAGG","iシェアーズコア 世界総合債券市場 ETF","--","CBOE","https://www.ishares.com/us/literature/fact-sheet/iagg-ishares-core-international-aggregate-bond-etf-fund-fact-sheet-en-us.pdf","米ドル建て債券を除くグローバル投資適格債を投資対象としながら、各通貨と米ドル間の為替変動リスクの軽減を図る指数と同等水準の投資成果を目指す。"
